Tarih;K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;K11;K12;K13
2008/01;917;5;1.172.736;782;642;919.539;698;270;253.197;1.067;275;352.491;781
2008/02;827;2;1.073.986;770;597;858.751;695;228;215.235;1.062;255;338.170;755
2008/03;1.128;3;1.478.744;762;851;1.221.568;697;273;257.176;1.063;278;374.133;743
2008/04;1.128;1;1.677.867;672;879;1.411.495;623;247;266.372;928;300;427.658;703
2008/05;1.837;3;2.769.178;663;1.592;2.509.997;634;241;259.181;931;324;461.661;701
2008/06;2.118;4;3.175.128;667;1.861;2.902.948;641;253;272.180;931;394;567.063;695
2008/07;3.254;5;4.138.652;786;2.536;3.545.795;715;713;592.857;1.203;334;437.854;764
2008/08;4.239;5;5.298.575;800;3.202;4.450.081;720;1.032;848.494;1.216;265;348.552;759
2008/09;3.128;2;3.917.099;799;2.376;3.286.998;723;750;630.101;1.191;196;262.293;746
2008/10;2.436;4;3.186.698;764;2.011;2.839.973;708;421;346.725;1.213;414;448.433;924
2008/11;1.345;1;1.762.312;763;960;1.444.305;665;384;318.007;1.208;324;376.187;862
2008/12;1.008;0;1.329.005;758;658;1.039.674;633;349;289.331;1.207;465;498.221;934
2009/01;831;1;1.151.951;722;590;906.602;651;240;245.349;978;285;378.771;753
2009/02;752;1;1.057.976;711;555;857.114;647;197;200.862;978;291;384.447;757
2009/03;986;2;1.426.537;691;742;1.179.459;629;242;247.078;977;330;439.320;752
2009/04;1.111;1;1.824.721;609;852;1.564.694;544;258;260.027;991;278;364.114;763
2009/05;1.592;4;2.656.507;599;1.351;2.416.640;559;237;239.867;988;317;413.407;767
2009/06;1.967;5;3.261.081;603;1.703;2.999.541;568;259;261.540;990;374;488.989;764
2009/07;3.121;6;4.218.369;740;2.407;3.615.548;666;708;602.821;1.174;466;651.212;715
2009/08;4.079;7;5.491.275;743;3.041;4.605.083;660;1.032;886.192;1.164;333;460.934;721
2009/09;3.008;4;3.989.011;754;2.250;3.349.978;672;753;639.033;1.179;310;411.943;753
2009/10;2.759;10;3.515.977;785;2.190;3.115.112;703;559;400.865;1.395;492;490.962;1.002
2009/11;1.575;1;1.945.675;810;1.068;1.581.734;675;506;363.941;1.390;518;517.640;1.000
2009/12;1.199;1;1.467.070;817;768;1.156.472;664;429;310.598;1.383;581;559.614;1.039
2010/01;776;1;1.133.655;684;570;940.379;606;205;193.276;1.062;275;354.260;776
2010/02;760;1;1.105.749;687;542;897.345;604;217;208.404;1.041;324;444.881;729
2010/03;1.012;3;1.513.316;669;750;1.269.770;591;258;243.546;1.061;400;494.956;809
2010/04;1.130;2;1.875.486;602;834;1.634.199;510;295;241.287;1.221;361;518.761;697
2010/05;1.761;4;2.952.864;596;1.462;2.711.058;539;295;241.806;1.218;404;575.820;702
2010/06;2.112;4;3.545.058;596;1.799;3.292.445;546;309;252.613;1.223;438;617.491;710
2010/07;2.970;5;4.450.459;667;2.319;3.809.378;609;646;641.081;1.007;542;770.870;702
2010/08;3.456;6;5.145.381;672;2.621;4.320.205;607;829;825.176;1.005;383;547.433;700
2010/09;2.853;5;4.265.936;669;2.188;3.612.808;606;659;653.128;1.010;392;518.823;755
2010/10;2.979;9;3.639.656;818;2.396;3.264.167;734;574;375.489;1.529;524;551.749;949
2010/11;1.640;2;2.002.607;819;1.080;1.637.993;659;558;364.614;1.531;626;599.486;1.044
2010/12;1.136;1;1.397.778;813;719;1.121.105;641;416;276.673;1.504;525;562.702;933
2011/01;978;1;1.331.253;734;704;1.079.135;652;272;252.118;1.080;367;555.008;661
2011/02;953;2;1.261.709;755;673;1.004.108;670;279;257.601;1.082;375;516.563;726
2011/03;1.326;4;1.805.273;734;1.008;1.515.953;665;313;289.320;1.082;461;575.006;801
2011/04;1.433;2;2.279.409;629;1.135;2.002.607;567;296;276.802;1.071;430;610.062;704
2011/05;2.066;5;3.265.347;633;1.765;2.988.727;591;296;276.620;1.070;449;622.457;721
2011/06;2.410;5;3.793.320;635;2.104;3.512.503;599;300;280.817;1.068;480;653.460;735
2011/07;3.371;5;4.967.182;679;2.684;4.250.199;632;682;716.983;951;411;569.553;721
2011/08;3.487;6;5.139.322;678;2.804;4.427.495;633;677;711.827;951;325;467.089;695
2011/09;3.308;4;4.884.766;677;2.594;4.142.092;626;711;742.674;957;318;428.960;742
2011/10;2.984;8;3.860.053;773;2.425;3.464.540;700;551;395.513;1.394;417;428.263;973
2011/11;1.640;2;2.151.034;762;1.152;1.802.660;639;486;348.374;1.395;446;443.020;1.006
2011/12;1.098;1;1.412.660;777;711;1.134.509;627;386;278.151;1.388;404;412.532;980
2012/01;955;2;1.374.401;695;690;1.097.254;629;263;277.147;950;239;415.816;575
2012/02;875;2;1.209.064;724;613;932.503;657;260;276.561;941;227;381.114;595
2012/03;1.148;2;1.635.696;702;871;1.344.975;648;275;290.721;945;296;466.236;635
2012/04;1.494;4;2.231.943;669;1.157;1.930.140;600;332;301.803;1.101;347;517.912;669
2012/05;2.103;5;3.194.547;658;1.782;2.907.105;613;316;287.442;1.100;368;544.263;676
2012/06;2.573;5;3.896.971;660;2.215;3.575.063;620;353;321.908;1.097;423;625.636;675
2012/07;3.113;5;4.953.266;629;2.520;4.240.079;594;588;713.187;825;348;512.102;680
2012/08;3.346;5;5.384.021;622;2.736;4.636.889;590;606;747.132;811;322;477.758;673
2012/09;3.229;5;5.099.835;633;2.540;4.284.149;593;684;815.686;838;255;389.345;656
2012/10;3.376;5;3.836.383;880;2.718;3.397.483;800;652;438.900;1.487;460;547.879;840
2012/11;1.859;4;2.154.009;863;1.370;1.807.663;758;485;346.346;1.399;456;493.624;923
2012/12;1.274;3;1.493.785;853;876;1.189.161;737;395;304.624;1.296;353;431.264;819
2013/01;1.215;3;1.466.128;829;833;1.147.136;726;379;318.992;1.187;319;490.709;650
2013/02;1.161;3;1.415.328;820;807;1.117.425;722;351;297.903;1.179;390;560.648;695
2013/03;1.527;3;1.892.370;807;1.153;1.577.358;731;370;315.012;1.175;414;608.274;680
2013/04;1.703;5;2.418.962;704;1.348;2.096.105;643;351;322.857;1.086;373;566.597;659
2013/05;2.631;7;3.717.734;708;2.282;3.402.790;671;342;314.944;1.087;383;590.946;649
2013/06;2.963;7;4.131.081;717;2.569;3.773.896;681;387;357.185;1.083;436;677.972;643
2013/07;3.022;7;4.791.585;631;2.485;4.133.292;601;530;658.293;806;387;717.114;540
2013/08;3.669;7;5.930.881;619;2.999;5.079.689;590;664;851.192;780;399;790.702;505
2013/09;3.391;7;5.335.184;636;2.701;4.503.776;600;684;831.408;822;304;560.014;543
2013/10;3.543;7;4.294.646;825;2.931;3.826.713;766;605;467.933;1.292;588;806.876;728
2013/11;1.841;5;2.234.267;824;1.387;1.887.608;735;449;346.659;1.295;412;583.899;705
2013/12;1.331;4;1.598.059;833;917;1.281.686;716;410;316.373;1.295;412;572.119;721
2014/01;1.275;2;1.575.399;810;932;1.236.452;754;341;338.947;1.007;369;513.762;717
2014/02;1.213;2;1.523.245;796;911;1.226.182;743;299;297.063;1.006;460;596.225;772
2014/03;1.557;4;1.967.114;791;1.262;1.677.890;752;290;289.224;1.004;449;618.296;726
2014/04;1.812;6;2.573.139;704;1.455;2.244.712;648;351;328.427;1.068;375;590.790;634
2014/05;2.726;8;3.863.883;705;2.353;3.520.669;668;365;343.214;1.063;447;698.631;640
2014/06;3.230;7;4.530.079;713;2.829;4.160.935;680;393;369.144;1.065;482;752.665;641
2014/07;3.242;7;4.952.404;655;2.754;4.320.918;637;481;631.486;762;385;825.446;467
2014/08;4.328;6;6.635.627;652;3.624;5.717.412;634;698;918.215;760;378;816.672;462
2014/09;3.653;7;5.495.982;665;2.961;4.626.281;640;686;869.701;788;301;641.160;470
2014/10;3.373;7;4.293.279;786;2.909;3.840.928;757;457;452.351;1.010;550;719.336;765
2014/11;1.782;5;2.264.373;787;1.411;1.901.420;742;366;362.953;1.010;427;594.189;719
2014/12;1.361;3;1.740.546;782;990;1.376.487;719;368;364.059;1.011;449;615.090;729
2015/01;1.351;2;1.762.004;767;1.047;1.382.909;757;302;379.095;797;384;605.946;633
2015/02;1.188;2;1.564.925;759;942;1.256.944;750;244;307.981;791;405;616.510;657
2015/03;1.517;4;2.017.645;752;1.241;1.674.479;741;272;343.166;791;415;642.603;646
2015/04;1.568;5;2.626.663;597;1.309;2.260.479;579;253;366.184;692;444;765.692;580
2015/05;2.297;7;3.775.013;608;2.013;3.393.180;593;277;381.833;724;516;882.159;585
2015/06;2.665;7;4.349.675;613;2.395;3.983.799;601;263;365.876;718;475;814.659;583
2015/07;3.157;6;5.244.965;602;2.651;4.505.434;588;500;739.531;676;475;949.715;500
2015/08;4.069;6;6.748.708;603;3.383;5.744.545;589;680;1.004.163;678;427;872.220;489
2015/09;3.297;6;5.415.322;609;2.657;4.511.561;589;634;903.761;702;384;749.875;512
2015/10;2.845;6;4.161.806;684;2.410;3.711.542;649;429;450.264;953;522;678.682;769
2015/11;1.504;4;2.236.998;672;1.117;1.833.747;609;384;403.251;952;453;605.397;749
2015/12;1.158;3;1.713.807;676;788;1.333.541;591;368;380.266;967;468;567.393;825
2016/01;1.169;3;1.691.287;691;825;1.296.726;636;341;394.561;865;455;557.683;816
2016/02;986;3;1.517.504;650;699;1.183.830;590;284;333.674;851;504;626.101;805
2016/03;1.218;4;1.898.762;641;904;1.533.990;589;310;364.772;851;497;641.403;775
2016/04;1.142;6;2.049.238;557;844;1.667.413;506;293;381.825;767;453;631.516;717
2016/05;1.561;6;2.749.648;568;1.233;2.329.031;530;321;420.617;764;529;752.060;703
2016/06;1.523;6;2.696.149;565;1.241;2.334.127;532;276;362.022;763;455;652.242;697
2016/07;2.038;6;3.482.544;585;1.502;2.733.909;549;530;748.635;708;412;880.228;468
2016/08;2.647;5;4.565.837;580;1.980;3.642.977;544;662;922.860;717;308;647.281;475
2016/09;2.369;6;4.014.930;590;1.691;3.089.623;547;671;925.307;726;344;707.264;487
2016/10;1.983;5;3.190.334;621;1.579;2.730.649;578;399;459.685;867;297;648.563;458
2016/11;1.135;3;1.879.625;604;784;1.479.030;530;347;400.595;867;257;566.005;455
2016/12;972;3;1.629.471;596;635;1.244.101;510;334;385.370;867;272;581.562;468
2017/01;954;2;1.568.344;608;687;1.184.957;580;265;383.387;691;259;611.420;424
2017/02;830;3;1.432.342;579;607;1.110.950;546;220;321.392;685;261;608.313;429
2017/03;1.035;4;1.844.076;561;780;1.476.386;528;252;367.690;684;286;677.821;422
2017/04;1.161;6;2.278.538;510;903;1.889.519;478;253;389.019;649;405;702.741;576
2017/05;1.620;4;3.095.282;523;1.339;2.670.106;502;277;425.176;650;472;812.614;581
2017/06;1.825;4;3.489.572;523;1.581;3.115.407;507;240;374.165;642;434;779.234;556
2017/07;3.004;4;5.032.488;597;2.402;4.188.105;574;598;844.383;708;520;919.606;565
2017/08;3.703;4;6.323.888;586;2.938;5.242.858;560;761;1.081.030;704;471;837.828;563
2017/09;3.147;5;5.306.888;593;2.450;4.339.345;565;693;967.543;716;461;756.884;609
2017/10;2.581;5;3.913.759;659;2.204;3.421.449;644;371;492.310;754;434;759.030;572
2017/11;1.411;3;2.293.847;615;1.062;1.836.496;578;346;457.351;756;393;683.622;575
2017/12;1.207;3;2.041.323;591;875;1.603.949;546;329;437.374;752;427;737.805;579
2018/01;1.248;2;2.045.341;610;950;1.601.862;593;297;443.479;670;341;704.387;485
2018/02;1.077;2;1.806.822;596;832;1.444.008;576;242;362.814;668;321;660.895;486
2018/03;1.338;3;2.270.019;589;1.063;1.862.961;571;272;407.058;669;350;705.252;496
2018/04;1.540;4;2.870.569;536;1.239;2.433.008;509;297;437.561;678;526;728.986;722
2018/05;2.076;4;3.790.524;548;1.806;3.398.215;531;265;392.309;677;487;690.243;705
2018/06;2.416;4;4.406.894;548;2.155;4.023.879;536;257;383.015;672;535;774.829;690
2018/07;3.070;4;5.712.975;537;2.592;4.857.186;534;474;855.789;554;410;816.997;502
2018/08;3.727;3;7.052.433;528;3.138;6.001.678;523;585;1.050.755;557;405;807.504;502
2018/09;3.192;3;6.021.357;530;2.643;5.045.870;524;546;975.487;560;340;641.295;531
2018/10;2.822;4;4.791.439;589;2.508;4.292.466;584;309;498.973;620;301;634.078;475
2018/11;1.514;3;2.679.420;565;1.235;2.234.062;553;276;445.358;619;277;592.426;468
2018/12;1.200;2;2.180.881;550;935;1.756.707;532;262;424.174;618;302;626.541;481
2019/01;1.312;2;2.226.288;590;1.068;1.804.135;592;243;422.153;575;324;656.475;494
2019/02;1.127;2;1.944.957;579;913;1.574.614;580;212;370.343;573;313;644.196;486
2019/03;1.404;3;2.473.147;568;1.177;2.081.631;565;224;391.516;573;361;717.246;503
2019/04;1.733;4;3.266.256;530;1.489;2.845.084;523;240;421.172;569;312;752.280;415
2019/05;2.309;5;4.219.837;547;2.083;3.832.240;544;220;387.597;568;297;725.576;409
2019/06;2.923;5;5.276.253;554;2.660;4.821.887;552;257;454.366;565;396;966.812;410
2019/07;3.802;3;6.703.045;567;3.201;5.717.804;560;597;985.241;606;432;1.111.531;388
2019/08;4.560;4;8.167.150;558;3.864;7.018.257;550;693;1.148.893;603;412;1.022.294;403
2019/09;3.804;4;6.741.769;564;3.154;5.702.078;553;645;1.039.691;620;333;815.293;409
2019/10;3.586;4;5.437.494;660;3.207;4.878.255;657;375;559.239;670;320;771.983;414
2019/11;1.849;3;3.005.517;615;1.509;2.501.695;603;338;503.822;670;302;724.475;416
2019/12;1.420;2;2.398.329;592;1.109;1.935.290;573;309;463.039;667;308;742.352;415
2020/01;1.525;2;2.529.423;603;1.250;2.065.570;605;273;463.853;589;299;747.101;400
2020/02;1.229;1;2.051.923;599;999;1.664.208;600;229;387.715;590;275;670.221;411
2020/03;656;2;1.058.068;620;563;906.067;622;90;152.001;594;142;326.339;436
2020/04;;;;;;;;;;;;;
2020/05;;;;;;;;;;;;;
2020/06;91;;;;;;;;;;62;;
2020/07;468;3;777.043;602;286;529.990;539;179;247.053;723;40;78.849;513
2020/08;1.366;4;2.192.917;623;988;1.712.380;577;374;480.537;779;35;66.298;526
2020/09;1.581;4;2.634.195;600;1.254;2.187.683;573;322;446.512;721;26;58.076;456
2020/10;1.746;4;2.355.124;741;1.452;2.000.557;726;290;354.567;818;57;103.842;548
2020/11;886;4;1.262.757;702;651;960.402;678;232;302.355;766;49;92.413;534
2020/12;672;3;964.816;697;450;681.408;660;219;283.408;773;55;99.726;547
2021/01;662;2;829.932;797;460;570.447;806;200;259.485;771;59;82.955;715
2021/02;560;2;727.126;771;388;494.337;786;170;232.789;731;62;86.362;718
2021/03;826;3;1.043.411;792;611;761.443;803;212;281.968;753;84;112.004;752
2021/04;736;3;1.179.562;624;554;895.342;619;179;284.220;631;70;101.862;687
2021/05;634;4;1.025.559;618;465;757.518;614;166;268.041;618;82;114.906;718
2021/06;1.161;4;1.861.089;624;918;1.491.955;615;239;369.134;647;135;178.421;754
2021/07;2.653;4;3.735.532;710;2.201;3.231.555;681;449;503.977;891;141;238.412;592
2021/08;3.886;4;5.499.057;707;3.077;4.578.265;672;805;920.792;875;186;311.248;598
2021/09;3.176;5;4.406.083;721;2.483;3.648.131;681;688;757.952;907;193;323.367;598
